Country,Code,Longitude,Latitude,Year,Month,Temperature,Tourists
Argentina,ARG,-63.616672,-38.416097,2016,January,21.3,240000
Australia,AUS,133.775136,-25.274398,2016,January,27.79,620000
Canada,CAN,-106.346771,56.130366,2016,January,-22.33,1400000
India,IND,78.96288,20.593684,2016,January,16.61,990000
Indonesia,IDN,113.921327,-0.789275,2016,January,25.8,700000
Japan,JPN,138.252924,36.204824,2016,January,0.47,1850000
Mexico,MEX,-102.552784,23.634501,2016,January,15.56,1692070
Spain,ESP,-3.74922,40.463667,2016,January,6.11,3526540
Switzerland,CHE,46.818188,8.227512,2016,January,-1.1,1112000
United Kingdom,GBR,-3.435973,55.378051,2016,January,3.88,2574000
Turkey,TUR,35.243322,38.963745,2016,January,0.46,1200000
Egypt,EGY,30.802498,26.820553,2016,January,12.84,364000
Jordan,JOR,36.238414,30.585164,2016,January,9.35,479500
Austria,AUT,14.550072,47.516231,2016,January,-0.64,3619600
Bulgaria,BGR,25.48583,42.733883,2016,January,1.69,480000
Argentina,ARG,-63.616672,-38.416097,2016,February,20.3,190000
Australia,AUS,133.775136,-25.274398,2016,February,28.94,800000
Canada,CAN,-106.346771,56.130366,2016,February,-24.6,1500000
India,IND,78.96288,20.593684,2016,February,20.25,980000
Indonesia,IDN,113.921327,-0.789275,2016,February,26,760000
Japan,JPN,138.252924,36.204824,2016,February,1.02,1900000
Mexico,MEX,-102.552784,23.634501,2016,February,17.21,1677140
Spain,ESP,-3.74922,40.463667,2016,February,6.53,3678730
Switzerland,CHE,46.818188,8.227512,2016,February,-1.71,1242000
United Kingdom,GBR,-3.435973,55.378051,2016,February,3.58,2294000
Turkey,TUR,35.243322,38.963745,2016,February,2.58,1300000
Egypt,EGY,30.802498,26.820553,2016,February,16.9,347000
Jordan,JOR,36.238414,30.585164,2016,February,11.1,453500
Austria,AUT,14.550072,47.516231,2016,February,-1.18,3893900
Bulgaria,BGR,25.48583,42.733883,2016,February,2.09,470000
Argentina,ARG,-63.616672,-38.416097,2016,March,18.9,215000
Australia,AUS,133.775136,-25.274398,2016,March,26.13,750000
Canada,CAN,-106.346771,56.130366,2016,March,-17.63,1700000
India,IND,78.96288,20.593684,2016,March,23.34,900000
Indonesia,IDN,113.921327,-0.789275,2016,March,26.62,800000
Japan,JPN,138.252924,36.204824,2016,March,4.98,2000000
Mexico,MEX,-102.552784,23.634501,2016,March,18.98,1941730
Spain,ESP,-3.74922,40.463667,2016,March,9.69,4627210
Switzerland,CHE,46.818188,8.227512,2016,March,2.83,1371000
United Kingdom,GBR,-3.435973,55.378051,2016,March,5.41,2615000
Turkey,TUR,35.243322,38.963745,2016,March,5.52,1700000
Egypt,EGY,30.802498,26.820553,2016,March,20.28,441000
Jordan,JOR,36.238414,30.585164,2016,March,15.43,567100
Austria,AUT,14.550072,47.516231,2016,March,3.06,3736400
Bulgaria,BGR,25.48583,42.733883,2016,March,5.48,480000
Argentina,ARG,-63.616672,-38.416097,2016,April,15.95,195000
Australia,AUS,133.775136,-25.274398,2016,April,21.11,600000
Canada,CAN,-106.346771,56.130366,2016,April,-9.18,1950000
India,IND,78.96288,20.593684,2016,April,27.16,760000
Indonesia,IDN,113.921327,-0.789275,2016,April,26.65,810000
Japan,JPN,138.252924,36.204824,2016,April,10.46,2009000
Mexico,MEX,-102.552784,23.634501,2016,April,22.34,1588580
Spain,ESP,-3.74922,40.463667,2016,April,12.64,6086330
Switzerland,CHE,46.818188,8.227512,2016,April,6.47,1177000
United Kingdom,GBR,-3.435973,55.378051,2016,April,7.81,3060000
Turkey,TUR,35.243322,38.963745,2016,April,9.27,1800000
Egypt,EGY,30.802498,26.820553,2016,April,21.55,425000
Jordan,JOR,36.238414,30.585164,2016,April,17.65,543200
Austria,AUT,14.550072,47.516231,2016,April,6.77,2163700
Bulgaria,BGR,25.48583,42.733883,2016,April,10.01,510000
Argentina,ARG,-63.616672,-38.416097,2016,May,12.2,170000
Australia,AUS,133.775136,-25.274398,2016,May,17.63,520000
Canada,CAN,-106.346771,56.130366,2016,May,0.61,2500100
India,IND,78.96288,20.593684,2016,May,30.61,630000
Indonesia,IDN,113.921327,-0.789275,2016,May,26.41,840000
Japan,JPN,138.252924,36.204824,2016,May,15.907,1900000
Mexico,MEX,-102.552784,23.634501,2016,May,23.77,1522643
Spain,ESP,-3.74922,40.463667,2016,May,16.74,7111150
Switzerland,CHE,46.818188,8.227512,2016,May,10.53,1431000
United Kingdom,GBR,-3.435973,55.378051,2016,May,9.71,3530000
Turkey,TUR,35.243322,38.963745,2016,May,15.38,2500000
Egypt,EGY,30.802498,26.820553,2016,May,27.57,432000
Jordan,JOR,36.238414,30.585164,2016,May,23.97,541700
Austria,AUT,14.550072,47.516231,2016,May,11.29,2975200
Bulgaria,BGR,25.48583,42.733883,2016,May,17.45,560000
Argentina,ARG,-63.616672,-38.416097,2016,June,9.54,160100
